Id,Name,SNR,Energy,Position,Type
1,Mafarana Clinic,50.134031881367086,13297.67564670393,"[30.36935919999999, -23.960285, 7.0]",0
2,Benfarm Clinic,95.6118839888802,15461.162862423753,"[31.0370016, -23.9160157, 7.0]",0
3,Evelyn Lekganyane Clinic,47.13444411673822,14523.876769319317,"[29.7983906, -23.9456275, 7.0]",0
4,Evuxakeni Hospital,78.44601431670337,14383.967258582528,"[30.7288359, -23.3187641, 10.0]",-2
5,Lebaka Clinic,106.23660834721603,12515.105707996143,"[30.36743209999999, -23.4620914, 7.0]",0
6,Belleview Clinic,85.79374584261708,14709.25897993853,"[30.420875, -23.4119083, 7.0]",0
7,Masakona Clinic,113.40715768537139,15099.955785493521,"[30.2442637, -23.2737484, 10.0]",-1
8,Loloka Clinic,64.68953041483887,12475.130049838452,"[30.7948843, -23.550548, 7.0]",0
9,Maphalle Clinic,65.23932211595277,12892.42526657545,"[30.3117192, -23.4682557, 7.0]",0
10,Makuleke Clinic,28.5017749337989,13427.034076554339,"[30.91454, -22.86522, 7.0]",0
11,Shivulani Clinic,84.59131723866786,13727.439550441688,"[30.701991, -23.1417273, 7.0]",0
12,Sehlale Clinic,83.09495183925118,12281.208020327074,"[29.8062633, -23.9983316, 10.0]",-2
13,Kgapane Clinic,127.85526898347337,13907.788717253574,"[30.2181252, -23.6404178, 7.0]",0
14,lulekani clinic,34.78796011451296,13262.394982890546,"[31.0775968, -23.8644321, 7.0]",0
15,xitlakati clinic,147.24778396592575,11102.463125628849,"[30.8811845, -23.6607816, 7.0]",0
16,Dan Clinic,112.82657002794438,12670.776286345279,"[30.2717248, -23.9044161, 7.0]",0
17,murhotso clinic,83.61437905864615,14585.138287825,"[31.1439449, -24.5664297, 7.0]",0
18,Shikhumba Clinic,84.12618161928975,12788.517840986598,"[30.88105, -23.500227, 7.0]",0
19,Tzaneen Travel Clinic.,111.82699764597123,12186.17875404351,"[30.158793, -23.825513, 7.0]",0
20,Mogoboya Clinic,71.9696995148214,14213.372018919656,"[30.1992568, -24.0133893, 10.0]",-1
21,Makahlule Clinic,116.045660726369,11839.150844677812,"[30.9114657, -22.8922237, 7.0]",0
22,Thomo Clinic,53.156536141585,15160.842242196546,"[30.78841, -23.2484469, 10.0]",-2
23,Giyani Health Center,79.2525576542908,13890.707415321149,"[30.7232505, -23.312801, 7.0]",0
24,Choice Clinic,28.15383511187671,12496.772521823503,"[30.163576, -23.839309, 7.0]",0
25,Mariveni Clinic,88.59233525214417,12223.083797351002,"[30.3485402, -23.8874615, 7.0]",0
26,Basani Clinic,81.0879261685071,13326.567774439565,"[30.5190201, -23.3690552, 7.0]",0
27,Kremetart Clinic,39.97011725285265,13634.92189209699,"[30.6922971, -23.3120544, 7.0]",0
28,medingen clinic,85.04445943578627,14378.212051297018,"[30.2425883, -23.6413454, 7.0]",0
29,Dr Hugo Clinic,62.841086421860645,12934.298840004936,"[30.4213592, -23.6766473, 7.0]",0
30,Letsitele Clinic,90.54191031148449,13026.643949722786,"[30.38366019999999, -23.8886492, 7.0]",0
31,Relela Clinic,44.497377775710554,13087.095431276548,"[30.332161, -23.67495199999999, 7.0]",0
32,Ratanang Clinic,89.29404677325525,13416.748221579926,"[30.63496759999999, -23.436165, 7.0]",0
33,Mahale Clinic,90.73322460678574,13055.647345013602,"[30.9694544, -23.6947832, 7.0]",0
34,Spec-Savers Phalaborwa,100.52210106297028,14925.77830322984,"[31.135333, -23.950333, 10.0]",-1
35,Tzaneen Medi-Clinic,103.01302540746208,13594.195066291526,"[30.1527959, -23.8226407, 7.0]",0
36,Van Heerden Pharmacy Tzaneen,74.9766863896292,13528.369537827019,"[30.1571616, -23.8220548, 7.0]",0
37,Mphambo Clinic,102.90511665306826,12938.595229680035,"[30.6710786, -23.08481159999999, 7.0]",0
38,Duvhuledza clinic,81.21984206393412,12862.402017678189,"[30.78781129999999, -22.7565712, 7.0]",0
39,Mulala Clinic Sanari,46.258019074627995,14953.42784246548,"[30.8771758, -22.4761119, 7.0]",0
40,Manenzhe Clinic,56.46500169728829,15162.651029195467,"[30.6812884, -22.46954969999999, 10.0]",-1
41,Malamulele Clinic,70.55601941148933,12635.8932556893,"[30.7015038, -23.0136997, 7.0]",0
42,Mhlava Wellem Clinic,73.32055460736386,13712.81137327077,"[30.8600204, -23.2111304, 10.0]",-2
43,Vleifontein Clinic,79.21605006495162,12949.342421421485,"[29.9918906, -23.213499, 7.0]",0
44,Mbokota Clinic,53.99569871055372,13651.805508167237,"[30.0993653, -23.1999918, 7.0]",0
45,Zanghoma-Uhuru Clinic,65.81614404137257,14286.79006533264,"[30.3411695, -23.9114379, 10.0]",-2
46,OLIFANTSHOEK CLINIC,63.0182011219846,13852.80445955142,"[30.2749065, -23.3345068, 7.0]",0
47,Nkurhi Clinic,68.15224696354078,14519.208039148234,"[30.5540447, -23.2138688, 7.0]",0
48,Kheyi Clinic,94.66618172819946,13658.824859176248,"[30.8736463, -23.5797707, 7.0]",0
49,Mediclinic Limpopo,77.32534291629156,11999.05745114353,"[29.4645518, -23.908231, 7.0]",0
