Id,Name,SNR,Energy,Position,Type
1,Mafarana Clinic,77.1264570086292,14580.144608860464,"[30.36935919999999, -23.960285, 7.0]",0
2,Benfarm Clinic,86.82508498804853,14523.295295567354,"[31.0370016, -23.9160157, 7.0]",0
3,Evelyn Lekganyane Clinic,87.59891092053235,12993.057959332757,"[29.7983906, -23.9456275, 7.0]",0
4,Evuxakeni Hospital,90.83972173006632,12450.309571198297,"[30.7288359, -23.3187641, 7.0]",0
5,Lebaka Clinic,105.07117146620271,14043.87241424916,"[30.36743209999999, -23.4620914, 7.0]",0
6,Belleview Clinic,93.17448741327706,12580.000357888744,"[30.420875, -23.4119083, 7.0]",0
7,Masakona Clinic,101.20739793288189,12389.974193467708,"[30.2442637, -23.2737484, 7.0]",0
8,Loloka Clinic,97.28297795437103,13564.60273979484,"[30.7948843, -23.550548, 7.0]",0
9,Maphalle Clinic,72.42568720857575,13153.799214639655,"[30.3117192, -23.4682557, 7.0]",0
10,Makuleke Clinic,67.08483763553016,12386.33340422608,"[30.91454, -22.86522, 7.0]",0
11,Shivulani Clinic,68.94632759137323,13018.822694678569,"[30.701991, -23.1417273, 7.0]",0
12,Sehlale Clinic,77.36314664318488,14610.579333229718,"[29.8062633, -23.9983316, 7.0]",0
13,Kgapane Clinic,41.84315133292245,12822.486595799139,"[30.2181252, -23.6404178, 7.0]",0
14,lulekani clinic,22.03283665956385,13425.323496573385,"[31.0775968, -23.8644321, 7.0]",0
15,xitlakati clinic,104.47542532881955,12946.41638510931,"[30.8811845, -23.6607816, 7.0]",0
16,Dan Clinic,105.57262498217356,13633.654221714758,"[30.2717248, -23.9044161, 7.0]",0
17,murhotso clinic,104.204551875123,14395.949409198147,"[31.1439449, -24.5664297, 7.0]",0
18,Shikhumba Clinic,96.30993065068617,14427.13504267884,"[30.88105, -23.500227, 7.0]",0
19,Tzaneen Travel Clinic.,72.36943405585296,12622.184445069563,"[30.158793, -23.825513, 7.0]",0
20,Mogoboya Clinic,82.95829531935634,13115.26356552267,"[30.1992568, -24.0133893, 7.0]",0
21,Makahlule Clinic,65.80476910827736,14368.134279672213,"[30.9114657, -22.8922237, 10.0]",-1
22,Thomo Clinic,80.66985665090493,13923.813501268613,"[30.78841, -23.2484469, 7.0]",0
23,Giyani Health Center,66.06238616272657,13720.251338860677,"[30.7232505, -23.312801, 7.0]",0
24,Choice Clinic,72.22124817222831,12551.706350176139,"[30.163576, -23.839309, 7.0]",0
25,Mariveni Clinic,74.89468790795,12235.197064838725,"[30.3485402, -23.8874615, 7.0]",0
26,Basani Clinic,82.8178550463372,13016.412615176583,"[30.5190201, -23.3690552, 10.0]",-1
27,Kremetart Clinic,74.36894910564803,15300.682223235028,"[30.6922971, -23.3120544, 7.0]",0
28,medingen clinic,49.25082670234416,11848.784091970145,"[30.2425883, -23.6413454, 7.0]",0
29,Dr Hugo Clinic,81.18759266614485,14154.163760471254,"[30.4213592, -23.6766473, 7.0]",0
30,Letsitele Clinic,70.11614590719748,13752.809049111436,"[30.38366019999999, -23.8886492, 7.0]",0
31,Relela Clinic,114.98069941500295,12400.076592156263,"[30.332161, -23.67495199999999, 7.0]",0
32,Ratanang Clinic,51.087091208651565,11067.97025912214,"[30.63496759999999, -23.436165, 7.0]",0
33,Mahale Clinic,87.76550533379151,15144.524206520167,"[30.9694544, -23.6947832, 7.0]",0
34,Spec-Savers Phalaborwa,64.57896736514813,12202.543327315205,"[31.135333, -23.950333, 7.0]",0
35,Tzaneen Medi-Clinic,94.78345849405488,13115.568414313637,"[30.1527959, -23.8226407, 7.0]",0
36,Van Heerden Pharmacy Tzaneen,52.477873214302434,13580.26941582863,"[30.1571616, -23.8220548, 7.0]",0
37,Mphambo Clinic,127.28673582044102,13249.131832333971,"[30.6710786, -23.08481159999999, 7.0]",0
38,Duvhuledza clinic,52.56762398851994,12688.966274841161,"[30.78781129999999, -22.7565712, 7.0]",0
39,Mulala Clinic Sanari,67.80732086603403,12779.521835627776,"[30.8771758, -22.4761119, 7.0]",0
40,Manenzhe Clinic,67.10523860087683,12550.968249636822,"[30.6812884, -22.46954969999999, 7.0]",0
41,Malamulele Clinic,80.08113370387326,12739.087226082811,"[30.7015038, -23.0136997, 7.0]",0
42,Mhlava Wellem Clinic,25.397170986417457,13449.22933177037,"[30.8600204, -23.2111304, 7.0]",0
43,Vleifontein Clinic,91.01947187365204,12572.194710036125,"[29.9918906, -23.213499, 7.0]",0
44,Mbokota Clinic,113.4120247004948,12091.476842524931,"[30.0993653, -23.1999918, 7.0]",0
45,Zanghoma-Uhuru Clinic,95.39668810261082,13851.117800137277,"[30.3411695, -23.9114379, 7.0]",0
46,OLIFANTSHOEK CLINIC,56.43341198236384,12805.539118367331,"[30.2749065, -23.3345068, 7.0]",0
47,Nkurhi Clinic,94.55712519018573,12786.844506085781,"[30.5540447, -23.2138688, 7.0]",0
48,Kheyi Clinic,140.7496308091765,13938.282369552922,"[30.8736463, -23.5797707, 10.0]",-1
49,Mediclinic Limpopo,95.90621791460951,14284.674655400524,"[29.4645518, -23.908231, 7.0]",0
50,Hoedspruit Training Trust,57.77905122490243,14373.245148375045,"[30.7894536, -24.4037254, 10.0]",-1
51,Lambani Clinic,93.730281109226,13137.176219882323,"[30.8315792, -22.7213869, 10.0]",-1
52,Msengi Clinic,53.57745576205217,13880.38665489358,"[30.3700773, -23.3455961, 7.0]",0
53,Tshino Clinic,85.46436156301365,13721.176196961704,"[30.39847990000001, -23.1151765, 7.0]",0
54,Mukhomi Clinic,47.49128085763309,13325.723349443435,"[30.5614827, -23.0719647, 7.0]",0
55,Zava Clinic,103.11520066102591,15389.877762880898,"[30.7378688, -23.6293278, 7.0]",0
56,Tshifudi Clinic,80.10571026419632,13366.18601951119,"[30.69845280000001, -22.8143967, 7.0]",0
57,Mpheni Clinic,51.11289388455539,12462.93360278793,"[30.0710851, -23.13953769999999, 7.0]",0
58,Laastehoop Clinic,44.65862394173132,13280.273612512256,"[29.64556709999999, -23.9845677, 7.0]",0
59,Marie Stopes South Africa,120.84042795606365,12255.397513332211,"[29.4513845, -23.902337, 10.0]",-1
60,Mens Clinic International - Giyani,78.76850080789063,12882.495930618383,"[30.686628, -23.309005, 7.0]",0
61,Dzumeri Health Centre,90.82628144688314,13463.186854714868,"[30.7089161, -23.5765642, 7.0]",0
62,Sekhiming Health Centre,58.810390568205946,11020.496957177274,"[30.56096629999999, -23.4303883, 7.0]",0
63,Health Centre Clinic,108.55045562184986,14348.670610547651,"[30.293284, -23.8867813, 7.0]",0
64,Hanyani Medical Centre Nkwinika TI,66.3327398414035,12734.733995162685,"[30.291036, -23.886778, 7.0]",0
65,Grace Mogodeni Health Centre,73.32666524417368,14304.719209319397,"[30.4362924, -23.7165316, 10.0]",-1
66,Nkonkowa Health Centre,118.02618073790103,13044.381418172658,"[30.2930827, -23.8861565, 7.0]",0
67,Tzaneen Medi-Clinic,33.06697434386935,13302.329865202606,"[30.1527959, -23.8226407, 7.0]",0
68,Wayeni Health Centre,67.05563976382179,11681.55342454186,"[30.2189329, -23.2413116, 7.0]",0
69,Mopani Medical Centre,130.50359714097743,13563.713173647691,"[30.1615068, -23.8298451, 7.0]",0
70,Giyani Health Center,53.91360078596581,13465.555251914531,"[30.7232505, -23.312801, 7.0]",0
71,Mokwakwaila Medical Centre,85.86355381767642,13028.245553997102,"[30.4249667, -23.5270932, 7.0]",0
72,Evuxakeni Hospital,90.87759657747475,12485.071299171257,"[30.7288359, -23.3187641, 7.0]",0
73,S a Federation for Mental Health,92.84615802503706,13303.68869727152,"[30.15794, -23.83188, 7.0]",0
74,Belleview Clinic,41.31653783999442,14061.095920256945,"[30.420875, -23.4119083, 7.0]",0
75,"GREENWORLD TZANEEN,LIMPOPO",77.65519003488403,13336.4166238659,"[30.1593714, -23.8270078, 7.0]",0
76,Mafarana Clinic,45.77082326028333,13637.170604475172,"[30.36935919999999, -23.960285, 7.0]",0
77,Themeli Medical Centre,74.76507798944273,13283.833066998335,"[30.3967995, -23.4289927, 7.0]",0
78,Lulekani Community Health Centre,54.92991586053848,13536.859354408325,"[31.08223599999999, -23.863053, 7.0]",0
79,Dr MBOMBI,52.0943810300717,14604.981941934491,"[30.68768579999999, -23.3088256, 7.0]",0
80,Giyani Community Healthcare Centre,82.97194021702697,12692.015357769988,"[30.6914181, -23.3095572, 7.0]",0
81,Van Heerden Pharmacy Tzaneen,80.68065273530132,12409.595117481727,"[30.1571616, -23.8220548, 7.0]",0
